source_file,file_name,dolos_score,jplag_score,dolos_score_clean,jplag_score_clean
Source/source_ncsa_c_2023-03-31-14-35-06/cmos.c,cmos.c,0,0,0,0
Source/source_ncsa_c_2023-03-31-14-35-06/measure-slice-latency-optimized.c,measure-slice-latency-optimized.c,0,0,0,0
Source/source_ncsa_c_2023-03-31-14-35-06/measure-slice-latency.c,measure-slice-latency.c,0,0,0,0
Source/source_ncsa_c_2023-03-31-14-35-06/receiver.c,receiver.c,0,0,0,0
Source/source_ncsa_c_2023-03-31-14-35-06/sender-no-loads.c,sender-no-loads.c,0,0,0,0
Source/source_ncsa_c_2023-03-31-14-35-06/sender.c,sender.c,0,0,0,0
Source/source_ncsa_c_2023-03-31-14-35-06/ringbus-monitor.c,ringbus-monitor.c,0,0,0,0
Source/source_ncsa_c_2023-03-31-14-35-06/monitor.c,monitor.c,0,0,0,0
Source/source_ncsa_c_2023-03-31-14-35-06/victim.c,victim.c,0,0,0,0
Source/source_ncsa_c_2023-03-31-14-35-06/util-cpu-specific.c,util-cpu-specific.c,0,0,0,0
Source/source_ncsa_c_2023-03-31-14-35-06/allocate-and-print.c,allocate-and-print.c,0,0,0,0
